Date,Close,High,Low,Open,Volume,Ticker
,TSM,TSM,TSM,TSM,TSM,
2018-01-02,33.75323486328125,33.77791930579513,33.259524040585255,33.33358050704381,4984000,TSM
2018-01-03,34.32100296020508,34.40328967624195,34.098833535281415,34.222262039878096,6963200,TSM
2018-01-04,34.139976501464844,34.5596277429341,34.107061816941,34.493798373886406,4876600,TSM
2018-01-05,34.93814468383789,35.02865851621286,34.38683772507071,34.46912131509282,5330800,TSM
2018-01-08,34.92168045043945,34.954595135523626,34.71596837703907,34.88876890427241,3538200,TSM
2018-01-09,34.707733154296875,34.97104429552635,34.66659137702659,34.962817195638856,5729900,TSM
2018-01-10,33.9836311340332,34.107059623601714,33.50638079479653,34.024772917583746,7102700,TSM
2018-01-11,33.7614631652832,34.065919282061984,33.695636936599286,33.917806343876904,5701800,TSM
2018-01-12,33.89311218261719,33.983625976040436,33.53928724773525,33.7696868506989,5028000,TSM
2018-01-16,34.748878479003906,34.847619382316104,34.40328374795286,34.56785087383428,9081600,TSM
2018-01-17,35.48945236206055,35.60465063580506,34.97105699129271,35.102712609703225,7117700,TSM
2018-01-18,36.674339294433594,36.90473575627502,35.793892085063725,36.09011790109777,11866200,TSM
2018-01-19,36.75662612915039,37.47250629477084,36.68257280744826,37.08576665165979,6543700,TSM
2018-01-22,38.163700103759766,38.180157444304236,37.80164488961501,37.851016911248415,8335800,TSM
2018-01-23,38.0814094543457,38.320036159134474,37.90038500495115,38.24597970381784,5659600,TSM
2018-01-24,37.29970932006836,37.57947468651315,37.233879959316624,37.554790245689595,7400600,TSM
2018-01-25,37.110450744628906,37.669987744303945,37.061081863956574,37.6123886242418,7655700,TSM
2018-01-26,37.62062454223633,37.63708188458345,37.052857217470454,37.43959691533508,7057300,TSM
2018-01-29,37.35731506347656,37.595938691209895,37.19274477134109,37.41491419488639,11604400,TSM
2018-01-30,36.92942810058594,37.05285344725489,36.534461341195104,36.6743440285366,10224600,TSM
2018-01-31,37.28326416015625,37.686458140273864,37.126920946752605,37.38200509462538,6333300,TSM
2018-02-01,37.39845275878906,37.79341953333758,37.27502426846651,37.299711849881156,6706500,TSM
2018-02-02,36.62497329711914,37.29148149271845,36.5756044122786,37.03639741168039,12051800,TSM
2018-02-05,35.34132766723633,36.871825685024845,35.2261294317325,36.246459350980516,11748300,TSM
2018-02-06,35.86794662475586,35.95846041248169,34.64190164914301,34.781787449878266,13414100,TSM
2018-02-07,34.46089553833008,35.37425786175967,34.46089553833008,35.37425786175967,15239500,TSM
2018-02-08,33.21015930175781,34.65837099018759,33.21015930175781,34.65014388796146,11356000,TSM
2018-02-09,34.12351608276367,34.296313452559524,32.88101353480271,33.52283726948514,10588400,TSM
2018-02-12,34.995731353759766,35.209673633846414,34.5267081521531,34.584307272426436,6573300,TSM
2018-02-13,34.872310638427734,35.10270715008255,34.4608865025201,35.00396623636149,5831900,TSM
2018-02-14,35.42361831665039,35.456533001646186,34.49379886848042,34.69951094132847,6860100,TSM
2018-02-15,35.81035614013672,35.999610860562214,35.17676261232079,35.81035614013672,6116500,TSM
2018-02-16,35.77743911743164,36.17240587409118,35.63755643105747,35.6704679732582,4792100,TSM
2018-02-20,35.991390228271484,36.33698504796972,35.38248103400444,35.448310412376024,9291700,TSM
2018-02-21,35.291969299316406,36.057218604182104,35.275511953748385,35.92556297855562,6612600,TSM
2018-02-22,34.88053512573242,35.16853388263254,34.70773775494244,35.11093162011906,7984000,TSM
2018-02-23,36.1230354309082,36.1230354309082,35.47298463204384,35.70338111208017,7204900,TSM
2018-02-26,36.542686462402344,36.542686462402344,36.040748585290416,36.295832643520775,3897600,TSM
2018-02-27,35.89264678955078,36.45218395984219,35.884419686568954,36.24647185720322,5999100,TSM
2018-02-28,35.67047882080078,36.131275079825365,35.62110992302802,35.93379007198119,6400100,TSM
2018-03-01,35.15208053588867,35.843273236501666,34.81471285695359,35.670472707160535,7792400,TSM
2018-03-02,35.39070510864258,35.42361979501203,34.683058185202896,34.8805400255851,4819600,TSM
2018-03-05,35.78567123413086,36.007837496034625,35.27550306680177,35.42361600068222,5977200,TSM
2018-03-06,35.826812744140625,36.5344627252853,35.736298936470924,36.48509070139722,8632000,TSM
