Date,Close,High,Low,Open,Volume,Ticker
,META,META,META,META,META,
2018-01-02,180.0074005126953,180.16615833200692,176.16753849046654,176.29651597117564,18151900,META
2018-01-03,183.2321014404297,183.34124555259893,179.91811132907898,180.46383188992525,16886600,META
2018-01-04,182.89476013183594,184.76012680396246,182.66655521130346,183.4603140896738,13880900,META
2018-01-05,185.39512634277344,185.4447249132327,183.49006281380875,184.1449274556417,13574500,META
2018-01-08,186.81398010253906,187.4291477052418,184.87916656179783,185.7423875707489,17994700,META
2018-01-09,186.4071807861328,187.32994738909062,185.64318714688596,187.23071996426356,12393100,META
2018-01-10,186.37741088867188,186.4270245998348,184.18462717107303,185.48442464765515,10529900,META
2018-01-11,186.30795288085938,186.93303715692767,185.9209901804445,186.93303715692767,9588600,META
2018-01-12,177.97335815429688,180.06692956843747,176.01869604602433,176.67356069082177,77551300,META
2018-01-16,177.0009765625,180.33481473346046,176.65369576011722,180.0867613431806,36183800,META
2018-01-17,176.21713256835938,177.92374108587103,174.43114515003586,177.8641955552792,27992400,META
2018-01-18,178.40000915527344,179.5708139416445,175.70118693925764,176.7430142522012,23304900,META
2018-01-19,179.87840270996094,180.94999524947485,178.76712828675176,179.44184142939912,26826500,META
2018-01-22,183.9266357421875,183.9464842539808,179.00526461593918,179.39222732602718,21059500,META
2018-01-23,187.87562561035156,188.07406527531055,184.10521141622712,184.60131814861253,25678800,META
2018-01-24,185.0974578857422,189.17545655869773,185.06769268768969,188.41144781540044,24334500,META
2018-01-25,186.02020263671875,187.1513255420997,185.14706495851576,186.48654424279474,17377700,META
2018-01-26,188.52059936523438,188.52059936523438,185.3554353008635,186.28811858327765,17759200,META
2018-01-29,184.53187561035156,187.369607027703,184.18460994464814,187.28031143994878,20453200,META
2018-01-30,185.66299438476562,186.71473832397322,180.42410805891768,186.1591011591071,20858600,META
2018-01-31,185.43478393554688,188.3518941034136,183.77778917583538,186.90325570427726,43275100,META
2018-02-01,191.58651733398438,193.7991645274697,186.4270097242907,186.75444202386447,54211300,META
2018-02-02,188.7983856201172,192.69779259027246,188.5007185388877,190.54467594869928,26677500,META
2018-02-05,179.8486328125,189.12583608662013,179.2037000244502,185.47448214295298,33128200,META
2018-02-06,183.86709594726562,184.32352085530795,176.35604702517875,177.17958611274838,37758500,META
2018-02-07,178.7770538330078,183.6389099554623,178.54884892549848,182.71614335904567,27601900,META
2018-02-08,170.24403381347656,180.42414124503927,170.1448063843661,179.60060203135833,38478300,META
2018-02-09,174.7387237548828,175.52256577473037,165.87824914129024,173.39922944580292,39887600,META
2018-02-12,175.0364227294922,176.1675457436953,170.50199884607702,175.68135557952797,32092100,META
2018-02-13,171.80178833007812,174.59983810473963,171.75218975930463,174.25255726945196,21809400,META
2018-02-14,178.12217712402344,178.40991238610002,171.8613121728498,172.0994337304368,28929700,META
2018-02-15,178.55877685546875,179.0945655700988,175.4630599421185,179.0945655700988,20922100,META
2018-02-16,175.97903442382812,178.4794173573277,174.9272902525888,177.5963477097795,20645300,META
2018-02-20,174.63954162597656,176.5644387778102,173.7465552817147,174.4014200088298,21204900,META
2018-02-21,176.5247344970703,179.8585729740723,175.026482192657,175.3340811424222,23200800,META
2018-02-22,177.59632873535156,178.80683061366898,176.02862933326867,177.30857829510717,18464200,META
2018-02-23,181.86282348632812,181.9620509019941,178.1122573018194,178.49921999895196,19007300,META
2018-02-26,183.4900665283203,184.2143934074253,181.79338963283567,183.14280082818172,17599700,META
2018-02-27,180.04708862304688,183.26185103505412,180.04708862304688,183.0137976321534,15849800,META
2018-02-28,176.9315643310547,181.45605663842016,176.75295798209004,180.88057084283693,18783000,META
2018-03-01,174.57008361816406,178.71752968391854,173.05199784385871,177.61617185354214,23201600,META
2018-03-02,175.24478149414062,175.73097166487122,171.6430560039666,171.94070800647535,20025900,META
2018-03-05,178.9953155517578,179.7394757025661,174.52043796195582,174.8280217352269,16189300,META
2018-03-06,178.3801727294922,180.95993433251797,177.71539138609242,180.36460007336458,15086800,META
2018-03-07,182.27955627441406,182.3887003695206,176.68347250890474,177.34825376456183,19097300,META
2018-03-08,180.92019653320312,182.96415381434767,180.03712716979672,182.13069815135245,17225900,META
2018-03-09,183.7877197265625,184.0655383216074,181.7834591680213,182.4780056556335,18526300,META
2018-03-12,183.32138061523438,184.65095835526108,182.78559192893863,183.787722221815,15301200,META
2018-03-13,180.4638214111328,184.54182007087564,179.6998126703109,184.16477404346094,18067500,META
2018-03-14,182.7558135986328,182.8153439883901,180.43403755823635,181.17819771015652,16821700,META
2018-03-15,182.4283905029297,182.56729979935182,180.77139563133073,181.81322292448564,15614300,META
2018-03-16,183.64881896972656,183.8869556936874,181.9819073219367,183.05349986979246,24403400,META
2018-03-19,171.2163848876953,175.79049041621707,168.73585076463533,175.6317325987463,88140100,META
2018-03-20,166.84072875976562,168.87476988691293,160.6890068049623,166.16603070626175,129851800,META
2018-03-21,168.07107543945312,172.0498468645589,162.028497733451,163.51681826044535,106598800,META
2018-03-22,163.60610961914062,168.94422394910038,162.44522145496325,164.8364600066346,73743000,META
2018-03-23,158.14891052246094,165.3027765807086,157.78179636908934,164.15180527719423,53609700,META
2018-03-26,158.81370544433594,159.84561606055564,147.85967402740113,159.5677974654145,126116600,META
