date,close,high,low,open,volume,ticker,ret_1d,ret_3d,ret_5d,ma_5,ma_10,vol_5d,volume_change_1d,target_direction,target_volatility,spy_ret_1d,spy_ret_5d
2018-01-16,41.223690032958984,41.97240267540656,41.21199067273534,41.623781733545634,118263600.0,AAPL,-0.005082240468727628,0.01090167973744438,0.010553327294257286,41.047270965576175,40.8060489654541,0.0059667843064131285,0.1631829287004143,1,0.01651610510410221,-0.003418472652218729,0.011134525420995578
2018-01-17,41.904544830322266,41.93963933476282,40.9616343961619,41.21432196841968,137547200.0,AAPL,0.016516105104102285,0.02179349884086923,0.02736199665221961,41.27048187255859,40.96608467102051,0.008506988391149956,0.16305608826384455,1,0.0008934890908304715,0.009532036573596914,0.018467666791023296
2018-01-18,41.941986083984375,42.13852605820033,41.70567471028857,41.96772324905173,124773600.0,AAPL,0.0008934890908305348,0.012253555943358974,0.02851598558803148,41.50305328369141,41.130567169189455,0.00833285014183273,-0.09286703037211952,0,0.0044629116931215,-0.0016809868618029578,0.018313312597948217
2018-01-19,41.75480270385742,42.016851193088,41.5091304601323,41.78989720861405,129700400.0,AAPL,-0.0044629116931215185,0.012883676121031584,0.018142211565373767,41.651858520507815,41.25761375427246,0.009483928269336472,0.039485916892676,0,0.008181059150607116,0.0045496356894252354,0.015536776903765093
2018-01-22,41.413204193115234,41.59570277343954,41.319616459154176,41.48339677865763,108434400.0,AAPL,-0.008181059150607073,-0.011725235035878412,-0.000508389766101125,41.64764556884766,41.30440788269043,0.009826450008442397,-0.16396248585200968,1,0.00022586124105962083,0.008130999121161997,0.017163225363442836
2018-01-23,41.42255783081055,41.98409489474454,41.371087080839246,41.48339306556889,130756400.0,AAPL,0.0002258612410597216,-0.012384445794572763,0.004824114427713022,41.68741912841797,41.36734504699707,0.009427292689112429,0.20585718185372914,0,0.015928646911340473,0.002122556202572623,0.022818689193653485
2018-01-24,40.762752532958984,41.48338938039704,40.5240992127342,41.471690023202605,204420400.0,AAPL,-0.01592864691134044,-0.023758947633748195,-0.0272474573339615,41.45906066894531,41.36477127075195,0.0069043837459693,0.5633682175404033,0,0.017850847734886335,-0.0003887792423584724,0.012767303540705655
2018-01-25,40.03510284423828,40.93355791852135,39.89939813455858,40.83060927185792,166116000.0,AAPL,-0.01785084773488632,-0.03327685881176168,-0.04546478166121559,41.077684020996095,41.29036865234375,0.007622813662278534,-0.187380515838928,1,0.002337693075973024,0.0004237646116755922,0.014902516279685196
2018-01-26,40.128692626953125,40.243340638442135,39.78943262048329,40.243340638442135,156572000.0,AAPL,0.0023376930759730907,-0.03123576311106102,-0.03894426441042842,40.752462005615236,41.20216026306152,0.00914324060059343,-0.057453827445881234,0,0.02069842509565097,0.011577972644063461,0.022003287219319656
2018-01-29,39.298091888427734,39.812831581035425,39.08985613945785,39.812831581035425,202561600.0,AAPL,-0.020698425095651007,-0.03593134794680486,-0.051073379756476966,40.32943954467773,40.988542556762695,0.01080850259570359,0.29372812507983537,0,0.005894236120258686,-0.006630042606276643,0.007039127619649754
2018-01-30,39.06645965576172,39.16004739790291,38.53534011524448,38.7295380718238,184192800.0,AAPL,-0.0058942361202586335,-0.024194847013262133,-0.05687959166288703,39.858219909667966,40.77281951904297,0.00958392420806355,-0.09068253805262205,1,0.0027548965251373934,-0.010256948027241197,-0.005401112411665743
2018-01-31,39.1740837097168,39.41039864035675,38.95649061096402,39.04305944765361,129915600.0,AAPL,0.0027548965251373847,-0.023788687214672644,-0.0389735413956076,39.54048614501953,40.49977340698242,0.01101334280298572,-0.29467601339466043,1,0.002090902247885459,0.0004969040710571804,-0.0045198701646937955
2018-02-01,39.2559928894043,39.452529368765795,39.01733941009679,39.11326920483691,188923200.0,AAPL,0.00209090224788544,-0.0010712733621510706,-0.01946067074849822,39.384664154052736,40.231174087524415,0.01006540840913581,0.4541994956725752,0,0.043390342933144734,-0.001135190283819254,-0.006071121421082015
2018-02-02,37.55266189575195,39.026692329053304,37.4590741352844,38.83951323797398,346375200.0,AAPL,-0.0433903429331447,-0.03874929474922362,-0.06419423516107614,38.8694580078125,39.81096000671387,0.019424719450818986,0.8334180238319062,0,0.024984749911242388,-0.021769827347207005,-0.03883709927423962
2018-02-05,36.61441802978515,38.343477505754464,36.49977003097488,37.22508740195526,290954000.0,AAPL,-0.024984749911242332,-0.0653407926245061,-0.0682901822882871,38.332723236083986,39.33108139038086,0.019935756981148085,-0.16000337206589843,1,0.04179178496080035,-0.04182253254837098,-0.0728885777438052
2018-02-06,38.14459991455078,38.30604177963437,36.03182500659377,36.22602293342309,272975200.0,AAPL,0.04179178496080027,-0.0283114218505347,-0.02359721739144016,38.1483512878418,39.003285598754886,0.032291524990316935,-0.061792585769571806,0,0.021406931511139808,0.019702044566542787,-0.044825411068753374
2018-02-07,37.32804107666016,38.23117676302514,37.21807707998179,38.1586457232369,206434400.0,AAPL,-0.021406931511139815,-0.005981488601669471,-0.047124079448442546,37.77914276123047,38.659814453125,0.03276732990732523,-0.2437613380263115,0,0.02751692790487649,-0.005424854498839782,-0.0504789151273225
2018-02-08,36.30088806152344,37.66963073040576,36.27281246056751,37.50350842775057,217562000.0,AAPL,-0.027516927904876476,-0.00856301930039316,-0.07527780118073335,37.1881217956543,38.28639297485351,0.032896369303905514,0.05390380672988604,1,0.012231637883746004,-0.03750882373685749,-0.08505569825266213
2018-02-09,36.74490737915039,37.09259809366148,35.29540922724705,36.89995995166039,282690400.0,AAPL,0.012231637883745927,-0.036694382390584646,-0.02150991370049693,37.026570892333986,37.948014450073245,0.03023556636401299,0.2993555859938777,1,0.04027861219624443,0.015021511356589912,-0.05064454774663185
2018-02-12,38.22494125366211,38.5021531573578,37.003319024356685,37.23589784714259,243278000.0,AAPL,0.0402786121962444,0.02402751794984348,0.04398603912171506,37.34867553710937,37.84069938659668,0.032871473687007616,-0.1394189544462776,1,0.010018323548499223,0.014684381170865679,0.005342102379928271
2018-02-13,38.60789108276367,38.70421198505764,37.97593706314297,38.04641585957028,130196800.0,AAPL,0.010018323548499186,0.06355224746376131,0.012145655459769644,37.44133377075195,37.79484252929687,0.027616873287815986,-0.4648229597415303,1,0.01843703088690282,0.0024874742616780576,-0.01163004393877054
2018-02-14,39.319705963134766,39.359643097700136,38.264886694786455,38.30247226663081,162579600.0,AAPL,0.01843703088690285,0.07007225674612405,0.053355730143576086,37.839666748046874,37.80940475463867,0.024485197545969627,0.24872193479409632,1,0.03357831854221593,0.013496348988699225,0.007173109492316865
2018-02-15,40.63999557495117,40.663486108266305,39.7026361874886,39.8882268148844,204588800.0,AAPL,0.033578318542215824,0.06318006626256589,0.11953171795890305,38.707488250732425,37.94780502319336,0.013376396138895392,0.2583915817236604,0,0.003237518152432278,0.0127602473441768,0.05977583238536677
2018-02-16,40.5084228515625,41.069901295642566,40.35337390152805,40.49197984104744,160704400.0,AAPL,-0.0032375181524322283,0.04922651083750362,0.10242277749072737,39.460191345214845,38.243381118774415,0.01758892139204524,-0.21450050051615732,0,0.003363298377254441,0.0002923982363656208,0.044397283317552994
2018-02-20,40.3721809387207,40.93835192750995,40.271160528345504,40.41916559216763,135722000.0,AAPL,-0.0033632983772544645,0.026767112057570097,0.05617378639798121,39.88963928222656,38.61915740966797,0.015612714175760085,-0.15545560669154046,0,0.004538838219557653,-0.006260825252572988,0.022838740490745746
