date,AAPL,AMD,AMZN,AVGO,GOOGL,INTC,META,MSFT,NVDA,QCOM,TSM
2018-01-16,-0.0050818736073826,-0.0091514647389645,-0.0002605871874575,-0.0039349848389769,4.4223174358482e-05,-0.0023130003334461,-0.0054637214281415,-0.0139510200847142,-0.0128713260974402,0.0438973936275015,0.0252486303132131
2018-01-17,0.016516011039237,0.0226700639145966,-0.0075563086371678,0.0097244876811077,0.0074290286856923,0.0289755312142101,-0.0044283006758227,0.0202602829925626,0.0209439022148201,-0.0033700085103884,0.0213119492592606
2018-01-18,0.0008932159917707,0.0238095200810295,-0.0012972916415299,0.0150106334860953,-0.0027477670214473,0.0020273612386139,0.0123873377536798,-0.0004437516429695,-0.001245769435149,0.0004413095175381,0.0333876722176456
2018-01-19,-0.0044623672001685,0.0096230860456647,0.0009741736041779,-0.0126391526919429,0.0066286841870926,0.0076437420807606,0.0082869589619849,-0.0011098254758605,0.025263152647915,-0.0001467835711324,0.0022434041494447
2018-01-22,-0.0081812396272753,0.0047656445762669,0.0252824116096834,-0.0160666412204742,0.0180672028936261,0.0207498710141234,0.0225053868126348,0.0178889942846121,0.0155574789846373,0.0092590746302898,0.0382810326241558
2018-01-23,0.0002260454463725,0.0229248988615164,0.0265423670476103,0.003014301276063,0.0103165127903137,0.0067759227639558,0.021470462134149,0.0031655975060755,0.0223374924601862,-0.0048057002585413,-0.0021562540513476
2018-01-24,-0.0159287346028677,-0.0177743083226217,-0.0036915667119321,-0.0229746306743096,-0.0041489414859092,-0.011940961113298,-0.0147874330859149,-0.0008705968161469,-0.0130174277779724,-0.0052675961971652,-0.0205270757797274
2018-01-25,-0.0178508443938183,-0.0236034767769049,0.0150569128939239,-0.0372576978860343,0.0092630690191375,-0.0046143253164248,0.0049853489682449,0.0055545625321336,0.0023322546764519,-0.0082379399322848,-0.0050741994929993
2018-01-26,0.0023376926304845,0.043513293190381,0.0174897760741254,0.0141536545482405,0.0045849264920956,0.1055189636635858,0.0134415331941053,0.0187370492560281,0.0295328096447147,0.016464018444446,0.0137475455584037
2018-01-29,-0.0206986112835422,0.0285714201551081,0.0111479870163437,-0.0212130317125551,-0.0009093152670781,-0.0019968153666679,-0.0211580260635348,-0.0014885354923344,0.0144657256266609,-0.017656210487193,-0.006999274590951
2018-01-30,-0.0058940419786562,-0.0337837702383728,0.0142062541142373,-0.0182914050556364,-0.0076781877951902,-0.023809709972923,0.0061298314356303,-0.0125640331744227,-0.0167310948684271,-0.0049022106855159,-0.0114536972601333
2018-01-31,0.0027547983407936,0.0675990593080948,0.0090901980569244,0.0292554841442216,0.0041193623949105,-0.0133224266607606,-0.001229329140344,0.0244772316059918,0.0126898436352074,0.0188086183792237,0.0095808943634889
2018-02-01,0.0020904151538982,-0.0356622837904376,-0.0419673740052771,-0.0372536593849316,-0.0005329056900728,-0.0101788606559133,0.0331748110330467,-0.0078940132807182,-0.0215622358953916,-0.0212452872347846,0.0030900652575616
2018-02-02,-0.0433903597989605,-0.06037737288565,0.0287409720660971,-0.0138615790103429,-0.0528018083924078,-0.0314794278274358,-0.0145528574168337,-0.0263102325391856,-0.0290229550658281,-0.0109280947584646,-0.0206824285446605
2018-02-05,-0.0249840489847779,-0.0706827411986007,-0.0279380065988569,-0.0313401314934547,-0.0507594612451833,-0.0353193992817177,-0.0474038302306464,-0.0411853461512747,-0.0848747789581635,-0.0656879375963627,-0.0350481693862575
2018-02-06,0.0417919802697428,0.0069144274689858,0.0380143638995054,0.0538359931917507,0.0207457042167906,0.0156034239469087,0.0223434978192533,0.0378411870228823,0.0555919447279309,0.0432527522884493,0.0149013704654004
2018-02-07,-0.021407520844036,-0.0042917801457277,-0.0180616206187189,-0.0124800120568177,-0.0267604650697586,0.0064577699312555,-0.0276832681129507,-0.0188327815699937,0.0142742040917047,0.0099378869221646,-0.0392292703772191
2018-02-08,-0.0275164197474973,-0.0327586294779735,-0.0467820763555533,-0.0329010161402421,-0.0451958170782595,-0.0542034845938868,-0.0477301217027545,-0.0513338024410674,-0.0493008737108063,-0.0402829385888278,-0.0362942598919713
2018-02-09,0.0122312124004209,0.008021403783061,-0.008071057484337,0.0258308794366084,0.038264929310988,0.0280698327767672,0.0264017271137662,0.0372896367861275,0.066936481874994,0.0251522848463694,0.0275026783735934
2018-02-12,0.0402787160119169,0.0327144006924466,0.0348088545167482,0.0377918985275085,0.0079235335268694,0.0200229193086909,0.001703505809367,0.0107736158424878,-0.0174507368303123,0.0260978346893103,0.0255603040576608
2018-02-13,0.0100176239765918,0.0085615946217996,0.020400675986486,0.0059741156571557,-0.0003982777768659,-0.0082533133010161,-0.018479693381312,0.0078536038687431,0.0201725679297912,0.0006090817983896,-0.0035268452824043
2018-02-14,0.0184374370419158,0.035653657539431,0.0258322075853711,0.0073211827057884,0.0176066592890244,0.0206923611054712,0.0367890193283679,0.0156583921722015,0.0377851154590336,0.0135464109792478,0.0158091075424058
2018-02-15,0.0335786161099627,-0.0008196909047688,0.0073808564628525,0.0168376127721587,0.0173954679577152,0.0118997783374623,0.0024507819775478,0.0203720857753806,0.0210423184092862,-0.0196726068969198,0.0109179475615452
2018-02-16,-0.0032372362517895,-0.0303527398109595,-0.0089412189620022,-0.0116749250644625,0.0037934321514221,-0.0078395977086568,-0.0144474127813423,-0.0071228270822647,-0.0107909196523049,-0.0065868305534219,-0.0009190973799013
2018-02-20,-0.0033636737921041,0.0169205387566151,0.0135709045637122,0.0029331713961107,0.007384682578442,0.0166809023416845,-0.0076118346700526,0.0078262397925259,0.0214895482985841,-0.0132614464953052,0.0059798420764693
2018-02-21,-0.004538932707821,-0.0249584175798507,0.009922706887337,-0.0040060161840963,0.0092064895435106,-0.0082036563136494,0.0107948546003009,-0.0132662748605429,-0.0303918773272977,-0.0092201174499705,-0.0194332187201872
2018-02-22,0.0083594297564528,0.0102388978519625,0.0016318420655936,0.0029363561536659,-0.0034569922454578,-0.0030474874169196,0.0060706781491199,0.0026234405005702,0.0032731113222035,-0.0192428554247383,-0.0116579056368342
2018-02-23,0.017391112809256,0.0194256367628558,0.0098698173596851,0.0174853873559004,0.0163888933168749,0.0421398113629623,0.0240234646515484,0.0254008334900808,0.0156101326076369,0.0183337641406156,0.0356218178986631
2018-02-26,0.0197718213241557,0.0289975468367085,0.0146333821614583,-0.0029957727903867,0.0138375342041294,0.0289126059264435,0.0089477237270736,0.0144584734701145,0.0026429291358109,0.057801505141378,0.0116171624968661
2018-02-27,-0.0032404855647509,0.0088566550725877,-0.0065508671727965,-0.0045066842147274,-0.0228993190798222,0.0162899208705162,-0.0187639197199613,-0.0127852677415731,-0.002108910692944,-0.0010539917024443,-0.0177887113722442
